"type","quality","fixedAcidity","volatileAcidity","citricAcid","residualSugar","chlorides","freeSulfurDioxide","totalSulfurDioxide","density","pH","sulphates","alcohol"
"white",3,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8
"white",3,5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7
"white",3,9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5
"white",3,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5
"white",3,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6
"white",3,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6
"white",3,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1
"white",3,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4
"white",3,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11
"white",3,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1
"white",3,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4
"white",3,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11
"white",3,11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7
"white",3,7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4
"white",3,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1
"white",3,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8
"white",3,9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11
"white",3,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11
"white",3,6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5
"white",3,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5
"red",3,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9
"red",3,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4
"red",3,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7
"red",3,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9
"red",3,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11
"red",3,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9
"red",3,6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8
"red",3,7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7
"red",3,7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2
"red",3,6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95
"red",4,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10
"white",4,7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7
"white",4,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1
"red",4,6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05
"red",4,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9
"red",4,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5
"white",4,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9
"white",4,8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3
"red",4,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5
"white",4,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10
"white",4,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7
"white",4,6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4
"white",4,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9
"red",4,7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9
"white",4,6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9
"white",4,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9
"white",4,7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6
"white",4,7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2
"white",4,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6
"white",4,8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8
